CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-5-1,51,48,44,45,44,41,97,89,73,30.02,29.98,29.91,10,5,1,18,12,22,0.38,8,Rain-Thunderstorm,22
2016-5-2,58,51,44,42,36,31,86,59,31,30.06,30.04,30.01,10,10,10,21,12,26,T,5,,30
2016-5-3,68,55,42,39,36,34,74,46,23,30.01,29.88,29.66,10,10,10,20,8,25,0.00,4,,258
2016-5-4,59,52,44,47,39,33,90,69,49,29.89,29.75,29.60,10,9,2,28,15,35,0.40,7,Rain,2
2016-5-5,61,52,42,41,37,32,73,58,37,30.03,29.97,29.87,10,10,10,28,11,33,T,3,Rain,28
2016-5-6,83,65,46,48,42,38,71,44,18,30.00,29.89,29.72,10,10,10,16,8,24,0.00,4,,245
2016-5-7,71,60,49,53,35,17,67,39,14,29.90,29.79,29.64,10,10,10,30,13,40,T,6,,333
2016-5-8,69,57,45,42,35,27,60,40,22,29.96,29.93,29.89,10,10,10,15,5,21,0.00,5,,178
2016-5-9,60,56,51,52,47,43,93,74,52,29.99,29.94,29.91,10,7,1,24,12,30,0.36,8,Rain,116
2016-5-10,71,63,54,61,56,52,93,88,66,29.97,29.89,29.86,10,4,0,17,9,22,0.57,8,Fog-Rain,98
2016-5-11,69,62,55,60,56,53,97,88,69,30.05,30.01,29.96,10,3,0,15,7,17,0.02,8,Fog-Rain,72
2016-5-12,71,63,55,63,55,44,93,75,44,29.97,29.92,29.89,10,7,2,22,11,30,1.03,7,Rain-Thunderstorm,265
2016-5-13,67,56,45,53,46,41,90,68,34,30.03,29.91,29.79,10,8,1,28,11,38,0.66,5,Rain,274
2016-5-14,48,46,43,40,32,27,80,57,33,30.07,29.98,29.86,10,10,7,23,13,30,T,7,Rain,314
2016-5-15,57,48,38,32,27,21,76,43,19,30.16,30.13,30.07,10,10,10,24,10,29,0.00,3,,281
2016-5-16,71,59,47,44,37,29,55,43,22,30.16,30.11,30.07,10,10,10,21,13,28,0.00,5,,229
2016-5-17,58,53,48,46,39,29,80,58,30,30.26,30.21,30.15,10,10,10,17,9,23,0.01,7,Rain,352
2016-5-18,66,56,45,45,38,30,64,52,36,30.26,30.22,30.20,10,10,10,16,7,20,0.00,3,,12
2016-5-19,69,57,44,39,31,21,74,37,10,30.24,30.19,30.16,10,10,10,14,6,19,0.00,2,,76
2016-5-20,68,61,53,44,39,35,57,43,26,30.19,30.13,30.08,10,10,10,15,7,19,0.00,7,,61
2016-5-21,76,66,56,39,35,27,49,32,14,30.12,30.09,30.06,10,10,10,20,8,23,0.00,3,,15
2016-5-22,78,66,54,44,42,39,59,40,19,30.08,30.04,29.99,10,10,10,15,7,21,0.00,1,,26
2016-5-23,84,69,54,44,39,31,67,35,9,30.05,29.97,29.89,10,10,10,16,7,22,0.00,2,,155
2016-5-24,89,77,64,56,48,40,49,35,14,29.99,29.94,29.89,10,10,10,21,11,27,0.00,5,,205
2016-5-25,90,78,65,66,62,56,94,69,23,29.99,29.93,29.84,10,8,0,35,10,45,1.02,7,Fog-Rain-Thunderstorm,163
2016-5-26,85,75,65,66,63,61,87,65,37,29.93,29.87,29.78,10,10,8,16,9,22,T,6,,197
2016-5-27,84,77,69,68,65,62,87,73,49,29.91,29.85,29.80,10,9,2,30,11,40,0.14,7,Rain-Thunderstorm,186
2016-5-28,83,77,70,66,63,59,81,64,48,29.94,29.88,29.83,10,10,10,23,14,33,T,6,,188
2016-5-29,81,73,65,61,58,55,84,56,36,29.99,29.96,29.93,10,10,10,23,11,30,T,2,,236
2016-5-30,87,76,65,59,57,53,73,51,29,30.01,29.97,29.92,10,10,10,17,8,23,0.00,3,,110
2016-5-31,84,75,65,64,59,54,90,67,36,30.02,29.97,29.91,10,8,1,39,9,52,0.97,7,Rain-Thunderstorm,67
